"PLAYERS","DFG","BOT                               ENT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               RFA                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Emmett Croteau                                A","G","ENT","MTL","23","$0.0","0","0","0.0"
"Michael Hage                                A","F","SRL","MTL","21","$0.5","0","0","0.0"
"Sam Harris                                A","F","ENT","MTL","23","$0.0","0","0","0.0"
"Ben Merrill                                A","F","ENT","MTL","21","$0.0","0","0","0.0"
"Quentin Miller                                A","G","ENT","MTL","22","$0.0","0","0","0.0"
"John Mooney                                A","F","ENT","MTL","20","$0.0","0","0","0.0"
"Hayden Paupanekis                                A","F","ENT","MTL","20","$0.0","0","0","0.0"
"Timofei Runtso                                A","D","ENT","MTL","20","$0.0","0","0","0.0"
"Logan Sawyer                                A","F","ENT","MTL","21","$0.0","0","0","0.0"
"Jack Smith                                3","F","UFA","MTL","25","$0.0","0","0","0.0"
"Maxon Vig                                A","D","ENT","MTL","21","$0.0","0","0","0.0"
"Rasmus Bergqvist                                A","D","ENT","MTL","22","$0.0","0","0","0.0"
"Filip Eriksson                                A","F","ENT","MTL","22","$0.0","0","0","0.0"
"Alexander Gordin                                3","F","UFA","MTL","26","$0.0","0","0","0.0"
"Carlos Handel                                A","D","ENT","MTL","20","$0.0","0","0","0.0"
"Makar Khanin                                A","F","ENT","MTL","22","$0.0","0","0","0.0"
"Aatos Koivu                                A","F","ENT","MTL","21","$0.0","0","0","0.0"
"Bogdan Konyushkov                                3","D","UFA","MTL","24","$0.0","0","0","0.0"
"Dmitri Kostenko                                3","D","UFA","MTL","24","$0.0","0","0","0.0"
"Gleb Pugachyov                                A","F","ENT","MTL","19","$0.0","0","0","0.0"
"Vinzenz Rohrer                                A","F","ENT","MTL","23","$0.0","0","0","0.0"
"Daniil Sobolev                                3","D","UFA","MTL","24","$0.0","0","0","0.0"
"Yevgeni Volokhin                                A","G","ENT","MTL","22","$0.0","0","0","0.0"
"Alexander Zharovsky                                A","F","ENT","MTL","20","$0.0","0","0","0.0"
"Ryan O`Reilly                                3","F","UFA","NSH","36","$0.0","0","0","0.0"
"Chase Bradley                                3","F","UFA","NSH","25","$0.0","0","0","0.0"
"David Edstrom                                A","F","ENT","NSH","22","$0.0","0","0","0.0"
"Aiden Fink                                A","F","ENT","NSH","22","$0.0","0","0","0.0"
"Andrew Gibson                                A","D","ENT","NSH","22","$0.0","0","0","0.0"
"Hiroki Gojsic                                A","F","ENT","NSH","21","$0.0","0","0","0.0"
"Viggo Gustafsson                                A","D","ENT","NSH","21","$0.0","0","0","0.0"
"Kalan Lind                                A","F","ENT","NSH","22","$0.0","0","0","0.0"
"Jake Lucchini                                3","F","UFA","NSH","32","$0.0","0","0","0.0"
"Tanner Molendyk                                A","D","SRL","NSH","22","$0.5","0","0","0.0"
"Matt Murray                                3","G","UFA","NSH","29","$0.0","5","0","0.0"
"Cole O`Hara                                3","F","UFA","NSH","25","$0.0","0","0","0.0"
"Vitali Pinchuk                                3","F","UFA","NSH","25","$0.0","0","0","0.0"
"Isak Posch                                3","G","UFA","NSH","25","$0.0","0","0","0.0"
"Austin Roest                                A","F","ENT","NSH","23","$0.0","0","0","0.0"
"Hunter Skinner                                3","D","UFA","NSH","26","$0.0","1","0","0.0"
"Ben Strinden                                3","F","UFA","NSH","25","$0.0","0","0","0.0"
"Joey Willis                                A","F","ENT","NSH","22","$0.0","0","0","0.0"
"Thomas Bleyl                                A","D","ENT","NSH","19","$0.0","0","0","0.0"
"Benjamin Cossette Ayotte                                A","D","ENT","NSH","19","$0.0","0","0","0.0"
"Justin Graf                                A","F","ENT","NSH","20","$0.0","0","0","0.0"
"Charlie Puglisi                                A","F","ENT","NSH","19","$0.0","0","0","0.0"
"Wyatt Cullen                                A","F","ENT","NSH","19","$0.0","0","0","0.0"
"Alex Huang                                A","D","ENT","NSH","20","$0.0","0","0","0.0"
"Adam Ingram                                A","F","ENT","NSH","23","$0.0","0","0","0.0"
"Jack Ivankovic                                A","G","ENT","NSH","20","$0.0","0","0","0.0"
"Ryker Lee                                A","F","JHN","NSH","20","$0.5","0","0","0.0"
"Miguel Marques                                A","F","ENT","NSH","21","$0.0","0","0","0.0"
"Jakub Milota                                A","G","ENT","NSH","21","$0.0","0","0","0.0"
"Viktor Norringer                                A","F","ENT","NSH","21","$0.0","0","0","0.0"
"Erik Pahlsson                                A","F","ENT","NSH","23","$0.0","0","0","0.0"
"Cameron Reid                                A","D","ENT","NSH","20","$0.0","0","0","0.0"
"Jacob Rombach                                A","D","ENT","NSH","20","$0.0","0","0","0.0"
"Teddy Stiga                                A","F","VPP","NSH","21","$0.5","0","0","0.0"
"Dmitri Borichev                                A","G","ENT","NSH","19","$0.0","0","0","0.0"
"Semyon Chistyakov                                3","D","UFA","NSH","26","$0.0","0","0","0.0"
"Jakub Floris                                A","D","ENT","NSH","19","$0.0","0","0","0.0"
"Philip Hemmyr                                A","F","ENT","NSH","20","$0.0","0","0","0.0"
"Daniel Nieminen                                A","D","ENT","NSH","21","$0.0","0","0","0.0"
"Felix Nilsson                                A","F","ENT","NSH","22","$0.0","0","0","0.0"
"Egor Surin                                A","F","ENT","NSH","21","$0.0","0","0","0.0"
"Seamus Casey                                3","D","UFA","NJD","23","$0.0","2","0","0.0"
"Mikael Diotte                                3","D","UFA","NJD","24","$0.0","0","0","0.0"
"Ethan Edwards                                3","D","UFA","NJD","25","$0.0","0","0","0.0"
"Josh Filmon                                A","F","ENT","NJD","23","$0.0","0","0","0.0"
"Jeremy Hanzel                                3","D","UFA","NJD","24","$0.0","0","0","0.0"
"Shane Lachance                                3","F","UFA","NJD","24","$0.0","1","0","0.0"
"Charlie Leddy                                A","D","ENT","NJD","23","$0.0","0","0","0.0"
"Amadeus Lombardi                                3","F","UFA","NJD","24","$0.0","0","0","0.0"
"Jakub Malek                                3","G","UFA","NJD","25","$0.0","0","0","0.0"
"Marc McLaughlin                                3","F","UFA","NJD","28","$0.0","7","0","0.0"
"Matyas Melovsky                                A","F","ENT","NJD","23","$0.0","0","0","0.0"
"Etienne Morin                                A","D","ENT","NJD","22","$0.0","0","0","0.0"
"Xavier Parent                                3","F","UFA","NJD","26","$0.0","5","0","0.0"
"Anton Silayev                                A","D","GVR","NJD","21","$0.5","0","0","0.0"
"Cam Squires                                A","F","ENT","NJD","22","$0.0","0","0","0.0"
"Ben Steeves                                3","F","UFA","NJD","25","$0.0","0","0","0.0"
"Topias Vilen                                3","D","UFA","NJD","24","$0.0","2","0","0.0"
"Colin White                                3","F","UFA","NJD","30","$0.0","0","0","0.0"
"Trenten Bennett                                A","G","ENT","NJD","21","$0.0","0","0","0.0"
"Quinn McKenzie                                A","F","ENT","NJD","19","$0.0","0","0","0.0"
"David Rozsival                                A","F","ENT","NJD","20","$0.0","0","0","0.0"
"Matias Vanhanen                                A","F","ENT","NJD","20","$0.0","0","0","0.0"
"Luke Wilfley                                A","F","ENT","NJD","19","$0.0","0","0","0.0"
"Cole Brown                                A","F","ENT","NJD","22","$0.0","0","0","0.0"
"Chase Cheslock                                A","D","ENT","NJD","22","$0.0","0","0","0.0"
"Conrad Fondrk                                A","F","ENT","NJD","20","$0.0","0","0","0.0"
"Benjamin Kevan                                A","F","ENT","NJD","20","$0.0","0","0","0.0"
"Veeti Louhivaara                                A","G","ENT","NJD","21","$0.0","0","0","0.0"
"Mason Moe                                A","F","ENT","NJD","20","$0.0","0","0","0.0"
"Samu Salminen                                3","F","UFA","NJD","24","$0.0","0","0","0.0"
"Mikhail Yegorov                                A","G","LPT","NJD","21","$0.5","0","0","0.0"
"Artyom Barabosha                                A","D","ENT","NJD","23","$0.0","0","0","0.0"
"Alexander Command                                A","F","ENT","NJD","19","$0.0","0","0","0.0"
"Lavr Gashilov                                A","F","ENT","NJD","19","$0.0","0","0","0.0"
"Gustav Hillstrom                                A","F","ENT","NJD","20","$0.0","0","0","0.0"
"Sigge Holmgren                                A","D","ENT","NJD","20","$0.0","0","0","0.0"
"Viktor Hurtig                                3","D","UFA","NJD","25","$0.0","0","0","0.0"
"Daniil Karpovich                                A","D","ENT","NJD","22","$0.0","0","0","0.0"
"Daniil Orlov                                A","D","ENT","NJD","23","$0.0","0","0","0.0"
"Kasper Pikkarainen                                A","F","ENT","NJD","21","$0.0","0","0","0.0"
"Daniil Rusakovich                                A","G","ENT","NJD","19","$0.0","0","0","0.0"
"Nikita Shcherbakov                                A","D","ENT","NJD","19","$0.0","0","0","0.0"
"Semyon Varlamov                                3","G","UFA","NYI","39","$0.5","0","0","0.0"
"Kashawn Aitcheson                                A","D","ENT","NYI","20","$0.0","0","0","0.0"
"Ethan Bear                                3","D","UFA","NYI","30","$0.0","0","0","0.0"
"Cole Eiserman                                A","F","LGN","NYI","21","$0.5","0","0","0.0"
"Pierre Engvall                                3","F","UFA","NYI","31","$0.0","0","0","0.0"
"Quinn Finley                                A","F","ENT","NYI","23","$0.0","0","0","0.0"
"Liam Foudy                                3","F","UFA","NYI","27","$0.0","1","0","0.0"
"Malte Gustafsson                                A","D","ENT","NYI","19","$0.0","0","0","0.0"
"Alex Jefferies                                3","F","UFA","NYI","25","$0.0","0","0","0.0"
"Joshua Kotai                                3","G","UFA","NYI","24","$0.0","0","0","0.0"
"Daylan Kuefler                                3","F","UFA","NYI","25","$0.0","0","0","0.0"
"Joey Larson                                3","F","UFA","NYI","26","$0.0","0","0","0.0"
"Jesse Nurmi                                A","F","ENT","NYI","22","$0.0","0","0","0.0"
"Calle Odelius                                A","D","ENT","NYI","23","$0.0","0","0","0.0"
"Daniil Prokhorov                                A","F","ENT","NYI","20","$0.0","0","0","0.0"
"Jesse Pulkkinen                                A","D","ENT","NYI","22","$0.0","0","0","0.0"
"Henrik Tikkanen                                3","G","UFA","NYI","26","$0.0","0","0","0.0"
"Gleb Veremyev                                3","F","UFA","NYI","24","$0.0","0","0","0.0"
"Vladimir Dravecky                                A","D","ENT","NYI","19","$0.0","0","0","0.0"
"Burke Hood                                A","G","ENT","NYI","20","$0.0","0","0","0.0"
"Tomas Poletin                                A","F","ENT","NYI","20","$0.0","0","0","0.0"
"Luca Romano                                A","F","ENT","NYI","20","$0.0","0","0","0.0"
"Kamil Bednarik                                A","F","ENT","NYI","21","$0.0","0","0","0.0"
"Robert Cowan                                A","F","ENT","NYI","21","$0.0","0","0","0.0"
"Lincoln Kuehne                                A","D","ENT","NYI","19","$0.0","0","0","0.0"
"Jacob Kvasnicka                                A","F","ENT","NYI","20","$0.0","0","0","0.0"
"Sam Laurila                                A","D","ENT","NYI","21","$0.0","0","0","0.0"
"Tomas Machu                                3","D","UFA","NYI","24","$0.0","0","0","0.0"
"Danny Nelson                                A","F","ENT","NYI","22","$0.0","0","0","0.0"
"Zach Schulz                                A","D","ENT","NYI","22","$0.0","0","0","0.0"
"Xavier Veilleux                                A","D","ENT","NYI","21","$0.0","0","0","0.0"
"Dmitri Gamzin                                3","G","UFA","NYI","24","$0.0","0","0","0.0"
"Dennis Good Bogg                                A","D","ENT","NYI","23","$0.0","0","0","0.0"
"Artyom Matyuk                                A","F","ENT","NYI","19","$0.0","0","0","0.0"
